ID,TARGET_LifeExpectancy,Country,Year,Company_Status,Company_Confidence,Company_device_confidence,Device_confidence,Device_returen,Test_Fail,PercentageExpenditure,Engine_Cooling,Gas_Pressure,Obsolescence,ISO_23,TotalExpenditure,STRD_DTP,Engine_failure,GDP,Product_Quantity,Engine_failure_Prevalence,Leakage_Prevalence,IncomeCompositionOfResources,RD
1,67.1,146,2017,0,263,262,264,62,0.01,71.27962362,1154,19.1,83,6,8.16,65,0.1,654.37,33736494,17.2,17.3,0.479,3.178049716
2,59.8,146,2016,0,271,278,264,64,0.01,73.52358168,492,18.6,86,58,8.18,62,0.1,686.22,327582,17.5,17.5,0.476,3.16227766
3,57.6,146,2015,0,268,246,290,66,0.01,73.21924272,430,18.1,89,62,8.13,64,0.1,707.55,31731688,17.7,17.7,0.47,3.146426545
4,55.5,146,2014,0,272,248,296,69,0.01,78.1842153,2787,17.6,93,67,8.52,67,0.1,750.35,3696958,17.9,18,0.463,3.130495168
5,57.7,146,2013,0,275,278,272,71,0.01,7.097108703,3013,17.2,97,68,7.87,68,0.1,71.16,2978599,18.2,18.2,0.454,3.082207001
6,58.9,146,2012,0,279,266,292,74,0.01,79.67936736,1989,16.7,102,66,9.2,66,0.1,619.73,2883167,18.4,18.4,0.448,3.033150178
7,57.5,146,2011,0,281,270,292,77,0.01,56.76221682,2861,16.2,106,63,9.42,63,0.1,499.4,284331,18.6,18.7,0.434,2.983286778
8,57,146,2010,0,287,276,298,80,0.03,25.87392536,1599,15.7,110,64,8.33,64,0.1,418.16,2729431,18.8,18.9,0.433,2.949576241
9,63,146,2009,0,295,276,314,82,0.02,10.91015598,1141,15.2,113,63,6.73,63,0.1,414.22,26616792,19,19.1,0.415,2.898275349
10,54.1,146,2008,0,295,304,286,84,0.03,17.17151751,1990,14.7,116,58,7.43,58,0.1,305.27,2589345,19.2,19.3,0.405,2.846049894
11,54.5,146,2007,0,291,306,276,85,0.02,1.388647732,1296,14.2,118,58,8.7,58,0.1,28.33,257798,19.3,19.5,0.396,2.810693865
12,58.5,146,2006,0,293,286,300,87,0.02,15.29606643,466,13.8,120,5,8.79,5,0.1,245.44,24118979,19.5,19.7,0.381,2.607680962
13,53.9,146,2005,0,295,326,264,87,0.01,11.08905273,798,13.4,122,41,8.82,41,0.1,222.58,2364851,19.7,19.9,0.373,2.549509757
14,58.4,146,2004,0,3,2,4,88,0.01,16.88735091,2486,13,122,36,7.76,36,0.1,210.39,21979923,19.9,2.2,0.341,2.48997992
15,55.2,146,2003,0,316,312,320,88,0.01,10.5747282,8762,12.6,122,35,7.8,33,0.1,131.6,2966463,2.1,2.4,0.34,2.42899156
16,56.2,146,2002,0,321,308,334,88,0.01,10.42496,6532,12.2,122,24,8.2,24,0.1,128.31,293756,2.3,2.5,0.338,2.34520788
17,73.2,154,2017,0,74,76,72,0,4.6,364.9752287,0,58,0,99,6,99,0.1,4428.74,28873,1.2,1.3,0.762,3.768288736
18,78.7,154,2016,0,8,6,10,0,4.51,428.7490668,0,57.2,1,98,5.88,98,0.1,5124.86,288914,1.2,1.3,0.761,3.768288736
19,75,154,2015,0,84,86,82,0,4.76,430.8769785,0,56.5,1,99,5.66,99,0.1,4944.49,289592,1.3,1.4,0.759,3.768288736
20,80.6,154,2014,0,86,88,84,0,5.14,412.4433563,9,55.8,1,99,5.59,99,0.1,4757.33,2941,1.3,1.4,0.752,3.768288736
21,75.3,154,2013,0,88,88,88,0,5.37,437.0621,28,55.1,1,99,5.71,99,0.1,4969.64,295195,1.4,1.5,0.738,3.646916506
22,75.4,154,2012,0,91,86,96,1,5.28,41.82275719,10,54.3,1,99,5.34,99,0.1,553.68,291321,1.4,1.5,0.725,3.535533906
23,74.5,154,2011,0,91,90,92,1,5.79,348.0559517,0,53.5,1,98,5.79,98,0.1,4607.83,2927519,1.5,1.6,0.721,3.492849839
24,73.8,154,2010,0,1,0,2,1,5.61,36.62206845,0,52.6,1,99,5.87,99,0.1,490.04,2947314,1.6,1.6,0.713,3.464101615
25,76.5,154,2009,0,9,8,10,1,5.58,32.24655228,22,51.7,1,99,6.1,98,0.1,406.71,29717,1.6,1.7,0.703,3.405877273
26,74.6,154,2008,0,99,96,102,1,5.31,3.3021542,68,5.8,1,97,5.86,97,0.1,39.34,2992547,1.7,1.8,0.696,3.376388603
27,72.9,154,2007,0,15,14,16,1,5.16,26.99312143,6,49.9,1,97,6.12,98,0.1,312.64,311487,1.8,1.8,0.685,3.286335345
28,75,154,2006,0,17,16,18,1,4.54,221.8428,7,48.9,1,98,6.38,97,0.1,2706.58,326939,1.8,1.9,0.681,3.301514804
29,75.8,154,2005,0,18,16,20,1,4.29,14.71928882,8,47.9,1,97,6.27,97,0.1,212.44,339616,1.9,2,0.674,3.271085447
30,74.9,154,2004,0,15,14,16,1,3.73,104.5169157,16,46.9,1,98,6.3,98,0.1,1628.08,3511,2,2.1,0.67,3.271085447
31,69.8,154,2003,0,14,12,16,1,4.25,96.20557078,18,46,1,97,6,97,0.1,1486.21,36173,2.1,2.1,0.662,3.255764119
32,72.4,154,2002,0,11,10,12,1,3.66,91.71154052,662,45,1,97,6.26,97,0.1,1316.88,38927,2.1,2.2,0.656,3.271085447
33,72.7,9,2017,0,19,18,20,21,0.45,0,63,59.5,24,95,3.84,95,0.1,4628.69,39871528,6,5.8,0.743,3.794733192
34,75.3,9,2016,0,11,10,12,21,0.01,54.2373183,0,58.4,24,95,7.21,95,0.1,613.59,39113313,6,5.8,0.741,3.794733192
35,76,9,2015,0,112,112,112,21,0.53,544.4507432,25,57.2,24,95,7.12,95,0.1,6128.49,38338562,5.9,5.8,0.737,3.794733192
36,75.3,9,2014,0,113,116,110,21,0.66,555.9260834,18,56.1,24,95,6.14,95,0.1,6232.6,37565847,5.9,5.8,0.732,3.794733192
37,75.4,9,2013,0,116,116,116,21,0.56,509.0020405,112,55,24,95,5.29,95,0.1,6084.12,36819558,5.9,5.8,0.724,3.741657387
38,76.9,9,2012,0,119,116,122,21,0.45,430.7175861,103,53.9,24,95,5.12,95,0.1,4999,36117637,5.9,5.8,0.714,3.687817783
39,74.5,9,2011,0,123,124,122,20,0.5,352.0636419,107,52.8,23,94,5.36,95,0.1,4333.09,3546576,6,5.9,0.705,3.619392214
40,73.7,9,2010,0,126,134,118,20,0.46,43.08717334,217,51.8,23,92,4.2,93,0.1,554.69,3486715,6,5.9,0.697,3.54964787
41,74.6,9,2009,0,129,122,136,20,0.44,320.3239241,0,5.8,23,95,3.82,95,0.1,4407.41,34376,6,5.9,0.69,3.507135583
42,73.9,9,2008,0,132,126,138,20,0.36,270.2401962,944,49.8,23,95,3.36,95,0.1,3880.37,33777915,6.1,6,0.686,3.507135583
43,72.2,9,2007,0,136,134,138,19,0.5,2.548922758,2302,48.9,22,88,3.24,88,0.1,34.86,33288437,6.1,6,0.68,3.464101615
44,71.6,9,2006,0,14,14,14,19,0.45,220.393699,3289,47.9,23,86,3.54,86,0.1,2910.86,3283196,6.2,6.1,0.673,3.420526275
45,73.3,9,2005,0,146,150,142,20,0.34,25.0185226,15374,47,23,87,3.6,87,0.1,329.66,3243514,6.3,6.1,0.663,3.391164992
