ImageName,isCancerous,cellType,trainValTest
./Image_classification_data/patch_images\10246.png,0,-1,1
./Image_classification_data/patch_images\10247.png,0,-1,0
./Image_classification_data/patch_images\10248.png,0,-1,2
./Image_classification_data/patch_images\10249.png,0,-1,0
./Image_classification_data/patch_images\10250.png,0,-1,0
./Image_classification_data/patch_images\10251.png,0,-1,0
./Image_classification_data/patch_images\10252.png,0,-1,1
./Image_classification_data/patch_images\10253.png,0,-1,2
./Image_classification_data/patch_images\10254.png,0,-1,2
./Image_classification_data/patch_images\10255.png,0,-1,1
./Image_classification_data/patch_images\10256.png,0,-1,0
./Image_classification_data/patch_images\10257.png,0,-1,1
./Image_classification_data/patch_images\10258.png,0,-1,0
./Image_classification_data/patch_images\10259.png,0,-1,2
./Image_classification_data/patch_images\10260.png,0,-1,1
./Image_classification_data/patch_images\10261.png,0,-1,2
./Image_classification_data/patch_images\10264.png,0,-1,1
./Image_classification_data/patch_images\10265.png,0,-1,0
./Image_classification_data/patch_images\10266.png,0,-1,1
./Image_classification_data/patch_images\10267.png,0,-1,0
./Image_classification_data/patch_images\10268.png,0,-1,0
./Image_classification_data/patch_images\10269.png,0,-1,0
./Image_classification_data/patch_images\10270.png,0,-1,0
./Image_classification_data/patch_images\10271.png,0,-1,2
./Image_classification_data/patch_images\10272.png,0,-1,0
./Image_classification_data/patch_images\10273.png,0,-1,0
./Image_classification_data/patch_images\10274.png,0,-1,0
./Image_classification_data/patch_images\10275.png,0,-1,0
./Image_classification_data/patch_images\10276.png,0,-1,0
./Image_classification_data/patch_images\10277.png,0,-1,0
./Image_classification_data/patch_images\10278.png,0,-1,0
./Image_classification_data/patch_images\10279.png,0,-1,2
./Image_classification_data/patch_images\10280.png,0,-1,1
./Image_classification_data/patch_images\10281.png,0,-1,0
./Image_classification_data/patch_images\10283.png,0,-1,0
./Image_classification_data/patch_images\10284.png,0,-1,0
./Image_classification_data/patch_images\10286.png,0,-1,1
./Image_classification_data/patch_images\10287.png,0,-1,0
./Image_classification_data/patch_images\10288.png,0,-1,0
./Image_classification_data/patch_images\10289.png,0,-1,2
./Image_classification_data/patch_images\10290.png,0,-1,0
./Image_classification_data/patch_images\10292.png,0,-1,1
./Image_classification_data/patch_images\10293.png,0,-1,0
./Image_classification_data/patch_images\10294.png,0,-1,1
./Image_classification_data/patch_images\10295.png,0,-1,0
./Image_classification_data/patch_images\10297.png,0,-1,0
./Image_classification_data/patch_images\10298.png,0,-1,0
./Image_classification_data/patch_images\10299.png,0,-1,0
./Image_classification_data/patch_images\10300.png,0,-1,0
./Image_classification_data/patch_images\10301.png,0,-1,0
./Image_classification_data/patch_images\10302.png,0,-1,0
./Image_classification_data/patch_images\10304.png,0,-1,0
./Image_classification_data/patch_images\10305.png,0,-1,0
./Image_classification_data/patch_images\10306.png,0,-1,0
./Image_classification_data/patch_images\10307.png,0,-1,0
./Image_classification_data/patch_images\10308.png,0,-1,0
./Image_classification_data/patch_images\10309.png,0,-1,2
./Image_classification_data/patch_images\10310.png,0,-1,0
./Image_classification_data/patch_images\10311.png,0,-1,0
./Image_classification_data/patch_images\10312.png,0,-1,0
./Image_classification_data/patch_images\10314.png,0,-1,0
./Image_classification_data/patch_images\10315.png,0,-1,0
./Image_classification_data/patch_images\10316.png,0,-1,0
./Image_classification_data/patch_images\10317.png,0,-1,2
./Image_classification_data/patch_images\10318.png,0,-1,0
./Image_classification_data/patch_images\10319.png,0,-1,0
./Image_classification_data/patch_images\10320.png,0,-1,0
./Image_classification_data/patch_images\10321.png,0,-1,1
./Image_classification_data/patch_images\10322.png,0,-1,0
./Image_classification_data/patch_images\10335.png,0,-1,0
./Image_classification_data/patch_images\10336.png,0,-1,1
./Image_classification_data/patch_images\10337.png,0,-1,0
./Image_classification_data/patch_images\10338.png,0,-1,2
./Image_classification_data/patch_images\10339.png,0,-1,1
./Image_classification_data/patch_images\10340.png,0,-1,0
./Image_classification_data/patch_images\10341.png,0,-1,2
./Image_classification_data/patch_images\10343.png,0,-1,2
./Image_classification_data/patch_images\10344.png,0,-1,0
./Image_classification_data/patch_images\10350.png,1,-1,0
./Image_classification_data/patch_images\10351.png,1,-1,1
./Image_classification_data/patch_images\10352.png,1,-1,2
./Image_classification_data/patch_images\10353.png,1,-1,0
./Image_classification_data/patch_images\10354.png,1,-1,1
./Image_classification_data/patch_images\10355.png,1,-1,0
./Image_classification_data/patch_images\10356.png,1,-1,0
./Image_classification_data/patch_images\10357.png,1,-1,0
./Image_classification_data/patch_images\10358.png,1,-1,0
./Image_classification_data/patch_images\10359.png,1,-1,1
./Image_classification_data/patch_images\10360.png,1,-1,1
./Image_classification_data/patch_images\10361.png,1,-1,0
./Image_classification_data/patch_images\10362.png,1,-1,2
./Image_classification_data/patch_images\10363.png,1,-1,1
./Image_classification_data/patch_images\10364.png,1,-1,0
./Image_classification_data/patch_images\10365.png,1,-1,0
./Image_classification_data/patch_images\10366.png,1,-1,0
./Image_classification_data/patch_images\10367.png,1,-1,2
./Image_classification_data/patch_images\10368.png,1,-1,1
./Image_classification_data/patch_images\10369.png,1,-1,0
./Image_classification_data/patch_images\10370.png,1,-1,1
./Image_classification_data/patch_images\10372.png,1,-1,0
./Image_classification_data/patch_images\10373.png,1,-1,0
./Image_classification_data/patch_images\10374.png,1,-1,0
./Image_classification_data/patch_images\10375.png,1,-1,0
./Image_classification_data/patch_images\10376.png,1,-1,0
./Image_classification_data/patch_images\10377.png,1,-1,0
./Image_classification_data/patch_images\10378.png,1,-1,1
./Image_classification_data/patch_images\10379.png,1,-1,1
./Image_classification_data/patch_images\10381.png,1,-1,0
./Image_classification_data/patch_images\10382.png,1,-1,0
./Image_classification_data/patch_images\10383.png,1,-1,0
./Image_classification_data/patch_images\10384.png,1,-1,0
./Image_classification_data/patch_images\10385.png,1,-1,0
./Image_classification_data/patch_images\10386.png,1,-1,0
./Image_classification_data/patch_images\10387.png,1,-1,0
./Image_classification_data/patch_images\10388.png,1,-1,0
./Image_classification_data/patch_images\10389.png,1,-1,0
./Image_classification_data/patch_images\10390.png,1,-1,0
./Image_classification_data/patch_images\10391.png,1,-1,0
./Image_classification_data/patch_images\10392.png,1,-1,0
./Image_classification_data/patch_images\10393.png,1,-1,0
./Image_classification_data/patch_images\10394.png,1,-1,0
./Image_classification_data/patch_images\10395.png,1,-1,0
./Image_classification_data/patch_images\10396.png,1,-1,0
./Image_classification_data/patch_images\10397.png,1,-1,0
./Image_classification_data/patch_images\10398.png,1,-1,0
./Image_classification_data/patch_images\10399.png,1,-1,0
./Image_classification_data/patch_images\10400.png,1,-1,0
./Image_classification_data/patch_images\10401.png,1,-1,0
./Image_classification_data/patch_images\10402.png,1,-1,0
./Image_classification_data/patch_images\10403.png,1,-1,0
./Image_classification_data/patch_images\10404.png,1,-1,0
./Image_classification_data/patch_images\10405.png,1,-1,0
./Image_classification_data/patch_images\10406.png,1,-1,0
./Image_classification_data/patch_images\10407.png,1,-1,0
./Image_classification_data/patch_images\10408.png,1,-1,0
./Image_classification_data/patch_images\10409.png,1,-1,0
./Image_classification_data/patch_images\10410.png,1,-1,0
./Image_classification_data/patch_images\10411.png,1,-1,0
./Image_classification_data/patch_images\10412.png,1,-1,0
./Image_classification_data/patch_images\10413.png,1,-1,0
./Image_classification_data/patch_images\10414.png,1,-1,0
./Image_classification_data/patch_images\10415.png,1,-1,0
./Image_classification_data/patch_images\10416.png,1,-1,0
./Image_classification_data/patch_images\10417.png,1,-1,0
./Image_classification_data/patch_images\10418.png,1,-1,0
./Image_classification_data/patch_images\10419.png,1,-1,0
./Image_classification_data/patch_images\10420.png,1,-1,0
./Image_classification_data/patch_images\10421.png,1,-1,0
./Image_classification_data/patch_images\10422.png,1,-1,0
./Image_classification_data/patch_images\10423.png,1,-1,0
./Image_classification_data/patch_images\10424.png,1,-1,0
./Image_classification_data/patch_images\10425.png,1,-1,0
./Image_classification_data/patch_images\10426.png,1,-1,0
./Image_classification_data/patch_images\10427.png,1,-1,0
./Image_classification_data/patch_images\10428.png,1,-1,0
./Image_classification_data/patch_images\10429.png,1,-1,0
./Image_classification_data/patch_images\10430.png,1,-1,0
./Image_classification_data/patch_images\10431.png,1,-1,0
./Image_classification_data/patch_images\10432.png,1,-1,0
./Image_classification_data/patch_images\10433.png,1,-1,0
./Image_classification_data/patch_images\10434.png,1,-1,0
./Image_classification_data/patch_images\10435.png,1,-1,0
./Image_classification_data/patch_images\10436.png,1,-1,0
./Image_classification_data/patch_images\10437.png,1,-1,0
./Image_classification_data/patch_images\10438.png,1,-1,0
./Image_classification_data/patch_images\10439.png,1,-1,0
./Image_classification_data/patch_images\10441.png,1,-1,0
./Image_classification_data/patch_images\10442.png,1,-1,0
./Image_classification_data/patch_images\10443.png,1,-1,0
./Image_classification_data/patch_images\10444.png,1,-1,0
./Image_classification_data/patch_images\10445.png,1,-1,0
./Image_classification_data/patch_images\10446.png,1,-1,0
./Image_classification_data/patch_images\10447.png,1,-1,0
