ImageName,isCancerous,cellType,trainValTest
./Image_classification_data/patch_images\1.png,0,0,0
./Image_classification_data/patch_images\10.png,0,0,0
./Image_classification_data/patch_images\100.png,1,2,0
./Image_classification_data/patch_images\1000.png,1,2,0
./Image_classification_data/patch_images\10000.png,0,1,0
./Image_classification_data/patch_images\10001.png,0,1,0
./Image_classification_data/patch_images\10002.png,0,1,0
./Image_classification_data/patch_images\10003.png,0,1,0
./Image_classification_data/patch_images\10004.png,0,1,0
./Image_classification_data/patch_images\10005.png,0,1,0
./Image_classification_data/patch_images\10006.png,0,1,0
./Image_classification_data/patch_images\10007.png,0,1,0
./Image_classification_data/patch_images\10008.png,0,1,0
./Image_classification_data/patch_images\10009.png,0,1,0
./Image_classification_data/patch_images\1001.png,1,2,2
./Image_classification_data/patch_images\10011.png,0,1,0
./Image_classification_data/patch_images\10012.png,0,1,0
./Image_classification_data/patch_images\10013.png,0,1,0
./Image_classification_data/patch_images\10014.png,0,1,0
./Image_classification_data/patch_images\10015.png,0,1,0
./Image_classification_data/patch_images\10016.png,0,1,0
./Image_classification_data/patch_images\10017.png,0,1,0
./Image_classification_data/patch_images\10018.png,0,1,0
./Image_classification_data/patch_images\10019.png,0,1,0
./Image_classification_data/patch_images\1002.png,1,2,0
./Image_classification_data/patch_images\10020.png,0,1,0
./Image_classification_data/patch_images\10021.png,0,1,0
./Image_classification_data/patch_images\10022.png,0,1,0
./Image_classification_data/patch_images\10024.png,0,1,0
./Image_classification_data/patch_images\10026.png,0,1,0
./Image_classification_data/patch_images\10027.png,0,1,0
./Image_classification_data/patch_images\10029.png,0,3,0
./Image_classification_data/patch_images\1003.png,1,2,2
./Image_classification_data/patch_images\10030.png,0,3,0
./Image_classification_data/patch_images\10031.png,0,3,0
./Image_classification_data/patch_images\10032.png,0,3,0
./Image_classification_data/patch_images\10033.png,0,3,0
./Image_classification_data/patch_images\10034.png,0,3,0
./Image_classification_data/patch_images\10035.png,0,3,0
./Image_classification_data/patch_images\10036.png,0,3,0
./Image_classification_data/patch_images\10037.png,0,3,0
./Image_classification_data/patch_images\10038.png,1,2,0
./Image_classification_data/patch_images\1004.png,1,2,2
./Image_classification_data/patch_images\10040.png,1,2,0
./Image_classification_data/patch_images\10041.png,1,2,0
./Image_classification_data/patch_images\10042.png,1,2,0
./Image_classification_data/patch_images\10043.png,1,2,0
./Image_classification_data/patch_images\10044.png,1,2,0
./Image_classification_data/patch_images\10045.png,1,2,0
./Image_classification_data/patch_images\10046.png,1,2,0
./Image_classification_data/patch_images\10047.png,1,2,0
./Image_classification_data/patch_images\10048.png,1,2,0
./Image_classification_data/patch_images\10049.png,1,2,0
./Image_classification_data/patch_images\1005.png,1,2,2
./Image_classification_data/patch_images\10050.png,1,2,0
./Image_classification_data/patch_images\10051.png,1,2,0
./Image_classification_data/patch_images\10052.png,1,2,0
./Image_classification_data/patch_images\10053.png,1,2,0
./Image_classification_data/patch_images\10054.png,1,2,0
./Image_classification_data/patch_images\10055.png,1,2,0
./Image_classification_data/patch_images\10056.png,1,2,0
./Image_classification_data/patch_images\10057.png,1,2,0
./Image_classification_data/patch_images\10058.png,1,2,0
./Image_classification_data/patch_images\10059.png,1,2,0
./Image_classification_data/patch_images\1006.png,1,2,0
./Image_classification_data/patch_images\10060.png,1,2,0
./Image_classification_data/patch_images\10061.png,1,2,0
./Image_classification_data/patch_images\10062.png,1,2,0
./Image_classification_data/patch_images\10063.png,1,2,0
./Image_classification_data/patch_images\10064.png,1,2,0
./Image_classification_data/patch_images\10065.png,1,2,0
./Image_classification_data/patch_images\10066.png,1,2,0
./Image_classification_data/patch_images\10067.png,1,2,0
./Image_classification_data/patch_images\10068.png,1,2,0
./Image_classification_data/patch_images\10069.png,1,2,0
./Image_classification_data/patch_images\1007.png,1,2,2
./Image_classification_data/patch_images\10070.png,1,2,0
./Image_classification_data/patch_images\10071.png,1,2,0
./Image_classification_data/patch_images\10072.png,1,2,0
./Image_classification_data/patch_images\10073.png,1,2,0
./Image_classification_data/patch_images\10074.png,1,2,0
./Image_classification_data/patch_images\10075.png,1,2,0
./Image_classification_data/patch_images\10076.png,1,2,0
./Image_classification_data/patch_images\10077.png,1,2,0
./Image_classification_data/patch_images\10078.png,1,2,0
./Image_classification_data/patch_images\10079.png,1,2,0
./Image_classification_data/patch_images\1008.png,1,2,1
./Image_classification_data/patch_images\10080.png,1,2,0
./Image_classification_data/patch_images\10081.png,1,2,0
./Image_classification_data/patch_images\10082.png,1,2,0
./Image_classification_data/patch_images\10083.png,1,2,0
./Image_classification_data/patch_images\10084.png,1,2,0
./Image_classification_data/patch_images\10085.png,1,2,0
./Image_classification_data/patch_images\10086.png,1,2,0
./Image_classification_data/patch_images\10087.png,1,2,0
./Image_classification_data/patch_images\10088.png,1,2,0
./Image_classification_data/patch_images\10089.png,1,2,0
./Image_classification_data/patch_images\1009.png,1,2,1
./Image_classification_data/patch_images\10090.png,1,2,0
./Image_classification_data/patch_images\10091.png,1,2,0
./Image_classification_data/patch_images\10092.png,1,2,0
./Image_classification_data/patch_images\10093.png,1,2,0
./Image_classification_data/patch_images\10094.png,1,2,0
./Image_classification_data/patch_images\10095.png,1,2,0
./Image_classification_data/patch_images\10096.png,1,2,0
./Image_classification_data/patch_images\10097.png,1,2,0
./Image_classification_data/patch_images\10098.png,1,2,0
./Image_classification_data/patch_images\10099.png,1,2,0
./Image_classification_data/patch_images\101.png,1,2,0
./Image_classification_data/patch_images\1010.png,1,2,2
./Image_classification_data/patch_images\10100.png,1,2,0
./Image_classification_data/patch_images\10101.png,1,2,0
./Image_classification_data/patch_images\10102.png,1,2,0
./Image_classification_data/patch_images\10103.png,1,2,0
./Image_classification_data/patch_images\10104.png,1,2,0
./Image_classification_data/patch_images\10105.png,1,2,0
./Image_classification_data/patch_images\10106.png,1,2,0
./Image_classification_data/patch_images\10107.png,1,2,0
./Image_classification_data/patch_images\10108.png,1,2,0
./Image_classification_data/patch_images\10109.png,1,2,0
./Image_classification_data/patch_images\1011.png,1,2,0
./Image_classification_data/patch_images\10110.png,1,2,0
./Image_classification_data/patch_images\10111.png,1,2,0
./Image_classification_data/patch_images\10112.png,1,2,0
./Image_classification_data/patch_images\10113.png,1,2,0
./Image_classification_data/patch_images\10114.png,1,2,0
./Image_classification_data/patch_images\10115.png,1,2,0
./Image_classification_data/patch_images\10116.png,1,2,0
